epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,1376.47,1.17042,0.91773,1.04394,0.91622,0.96845,0.99306,0.66947,1.19921,0.98551,0.99648,0.000261065,0.000261065,0.000261065
74,1394.02,1.16907,0.95342,1.04429,0.9303,0.98977,0.99374,0.68329,1.16417,0.93967,0.99175,0.000252066,0.000252066,0.000252066
75,1411.52,1.20282,1.00424,1.07306,0.9303,0.98977,0.99374,0.68329,1.16417,0.93967,0.99175,0.000243067,0.000243067,0.000243067
76,1428.85,1.15868,0.94317,1.04091,0.93715,0.991,0.99374,0.69142,1.1188,0.89511,0.98317,0.000234068,0.000234068,0.000234068
77,1446.46,1.17043,0.95279,1.02886,0.93715,0.991,0.99374,0.69142,1.1188,0.89511,0.98317,0.000225068,0.000225068,0.000225068
78,1463.95,1.16218,0.89322,1.04301,0.94109,0.98774,0.99356,0.71549,1.06095,0.84579,0.97249,0.000216069,0.000216069,0.000216069
79,1483.19,1.16178,0.9056,1.02835,0.94109,0.98774,0.99356,0.71549,1.06095,0.84579,0.97249,0.00020707,0.00020707,0.00020707
80,1502.61,1.15065,0.88205,1.04215,0.96419,0.97815,0.9929,0.72802,0.99387,0.81138,0.96475,0.000198071,0.000198071,0.000198071
81,1520.17,1.18027,0.89207,1.03045,0.96419,0.97815,0.9929,0.72802,0.99387,0.81138,0.96475,0.000189072,0.000189072,0.000189072
82,1538.04,1.22544,0.90853,1.03179,0.96534,0.97971,0.99131,0.72994,0.96751,0.79581,0.9634,0.000180073,0.000180073,0.000180073
83,1555.41,1.14254,0.86432,1.0147,0.96534,0.97971,0.99131,0.72994,0.96751,0.79581,0.9634,0.000171074,0.000171074,0.000171074
84,1573.13,1.18849,0.88558,1.01236,0.95925,0.9932,0.98971,0.7152,0.98254,0.78625,0.96804,0.000162075,0.000162075,0.000162075
85,1591.05,1.2029,0.91656,1.05593,0.95925,0.9932,0.98971,0.7152,0.98254,0.78625,0.96804,0.000153076,0.000153076,0.000153076
86,1608.55,1.16755,0.88032,1.02452,0.96295,0.99318,0.98938,0.70991,0.99429,0.78656,0.96917,0.000144077,0.000144077,0.000144077
87,1625.95,1.19845,0.90722,1.04177,0.96295,0.99318,0.98938,0.70991,0.99429,0.78656,0.96917,0.000135077,0.000135077,0.000135077
88,1643.4,1.15316,0.87768,1.03517,0.96436,0.99512,0.99059,0.71687,0.98504,0.77959,0.96645,0.000126078,0.000126078,0.000126078
89,1660.88,1.1236,0.88738,1.03661,0.96436,0.99512,0.99059,0.71687,0.98504,0.77959,0.96645,0.000117079,0.000117079,0.000117079
90,1678.92,1.09441,0.87634,1.00806,0.96367,0.99526,0.9906,0.71966,0.96793,0.77327,0.96185,0.00010808,0.00010808,0.00010808
91,1697.11,1.15517,1.25884,1.03805,0.96367,0.99526,0.9906,0.71966,0.96793,0.77327,0.96185,9.9081e-05,9.9081e-05,9.9081e-05
92,1714.19,1.18856,1.31975,1.05239,0.9677,0.99334,0.99034,0.7211,0.97159,0.76717,0.9618,9.00819e-05,9.00819e-05,9.00819e-05
93,1731.34,1.14197,1.18129,1.06594,0.9677,0.99334,0.99034,0.7211,0.97159,0.76717,0.9618,8.10828e-05,8.10828e-05,8.10828e-05
94,1749.02,1.10621,1.19798,1.02089,0.96667,0.99173,0.9901,0.7206,0.98663,0.77828,0.96324,7.20837e-05,7.20837e-05,7.20837e-05
95,1767.19,1.13714,1.13475,1.0524,0.96667,0.99173,0.9901,0.7206,0.98663,0.77828,0.96324,6.30846e-05,6.30846e-05,6.30846e-05
96,1784.83,1.23347,1.22056,1.07314,0.9664,0.9803,0.99003,0.7176,1.00336,0.79334,0.9647,5.40855e-05,5.40855e-05,5.40855e-05
97,1802.11,1.10006,1.09019,1.03283,0.9664,0.9803,0.99003,0.7176,1.00336,0.79334,0.9647,4.50864e-05,4.50864e-05,4.50864e-05
98,1819.28,1.12578,1.05471,1.03938,0.95901,0.9906,0.99005,0.71476,1.00956,0.80516,0.96551,3.60873e-05,3.60873e-05,3.60873e-05
99,1837.73,1.07108,0.9929,1.01478,0.95901,0.9906,0.99005,0.71476,1.00956,0.80516,0.96551,2.70882e-05,2.70882e-05,2.70882e-05
100,1855.16,1.09553,1.04592,1.04579,0.96329,0.99576,0.99037,0.71629,1.00228,0.80558,0.96424,1.80891e-05,1.80891e-05,1.80891e-05
